text,font_size,is_bold,y_position,word_count,is_all_caps,is_centered,label
o   1 teaspoon coriander,10,0,0.7597372652304293,4,0,0,Body_Text
o   1 teaspoon garam masala,10,0,0.7782220551461885,5,0,0,Body_Text
o   1 teaspoon salt,10,0,0.7967069221265388,4,0,0,Body_Text
o   2 tablespoons oil,10,0,0.8151917891068892,4,0,0,Body_Text
,10,0,0.8324872411862768,1,0,0,Body_Text
Instructions :,12,1,0.8338384146642204,2,0,0,Body_Text
"o   Peel and dice potatoes, cut cauliflower into florets.",10,0,0.8522372004961727,9,0,0,Body_Text
o   Heat oil in a pan and sauté diced onion and minced garlic until translucent.,10,0,0.8707473446624447,15,0,1,Body_Text
"o   Add cumin, turmeric, coriander, and garam masala, cook for 1 minute.",10,0,0.8892321345782039,12,0,1,Body_Text
"o   Add potatoes and cauliflower, stir to coat with spices.",10,0,0.09385343994757142,10,0,0,Body_Text
"o   Cover and cook until vegetables are tender, stirring occasionally.",10,0,0.11233822986333057,10,0,1,Body_Text
o   Add salt to taste and serve.,10,0,0.13082309684368096,7,0,0,Body_Text
,12,0,0.14939394864169034,0,0,0,Body_Text
Albondigas,12,1,0.16797977023654515,1,0,0,H1
,10,0,0.18511350227124762,1,0,0,Body_Text
Ingredients :,12,1,0.18646463721689552,2,0,0,Body_Text
o   1/2 pound ground beef,10,0,0.20486351937958688,5,0,0,Body_Text
o   1/2 pound ground pork,10,0,0.22334838635993726,5,0,0,Body_Text
o   1 small onion,10,0,0.24183317627569642,4,0,0,Body_Text
o   2 cloves garlic,10,0,0.2603180432560468,4,0,0,Body_Text
o   1/4 cup breadcrumbs,10,0,0.2788029102363972,4,0,0,Body_Text
o   1 egg,10,0,0.29736353170992147,3,0,0,Body_Text
o   1 teaspoon paprika,10,0,0.31584832162568066,4,0,0,Body_Text
o   1 teaspoon salt,10,0,0.3343331693398832,4,0,0,Body_Text
o   1/2 teaspoon pepper,10,0,0.35281803632023356,4,0,0,Body_Text
o   1/4 cup olive oil,10,0,0.37130290330058396,5,0,0,Body_Text
o   1 cup tomato sauce,10,0,0.38978777028093436,5,0,0,Body_Text
,10,0,0.40700746786714803,1,0,0,Body_Text
Instructions :,12,1,0.4083586028127959,2,0,0,Body_Text
"o   Mix ground beef, ground pork, diced onion, minced garlic, breadcrumbs, beaten",10,0,0.4268331816702178,12,0,1,Body_Text
"egg, paprika, salt, and pepper in a bowl.",12,0,0.445404052734375,8,0,0,Body_Text
o   Form mixture into meatballs.,10,0,0.4638029156309186,5,0,0,Body_Text
o   Heat olive oil in a pan and brown meatballs on all sides.,10,0,0.4822877826112689,13,0,0,Body_Text
o   Add tomato sauce and simmer for 20 minutes.,10,0,0.5007725725270281,9,0,0,Body_Text
o   Serve warm.,10,0,0.5192827166933002,3,0,0,Body_Text
,12,1,0.5378535492251618,0,0,0,Body_Text
Antipasto,12,1,0.5564141321663905,1,0,0,H1
,10,0,0.5735478642010929,1,0,0,Body_Text
Ingredients :,12,1,0.5748989991467408,2,0,0,Body_Text
"o   Assorted cured meats (salami, prosciutto)",10,0,0.5932978620432844,6,0,0,Body_Text
"o   Cheeses (mozzarella, provolone)",10,0,0.6117827290236347,4,0,0,Body_Text
o   Olives,10,0,0.6302675189393939,2,0,0,Body_Text
"o   Marinated vegetables (artichokes, peppers)",10,0,0.6487523859197443,5,0,0,Body_Text
o   Breadsticks,10,0,0.6672372529000947,2,0,0,Body_Text
,10,0,0.6845326279148911,1,0,0,Body_Text
Instructions :,12,1,0.6858838013928346,2,0,0,Body_Text
"o   Arrange meats, cheeses, olives, and vegetables on a platter.",10,0,0.7042826642893781,10,0,1,Body_Text
o   Serve with breadsticks.,10,0,0.7227675312697285,4,0,0,Body_Text
,12,1,0.7413384023338857,0,0,0,Body_Text
Arancini,12,1,0.7598232693142362,1,0,0,H1
,10,0,0.7769568857520518,1,0,0,Body_Text
Ingredients :,12,1,0.7783080592299952,2,0,0,Body_Text
o   2 cups cooked risotto,10,0,0.7967069221265388,5,0,0,Body_Text
o   1/2 cup mozzarella,10,0,0.8151917891068892,4,0,0,Body_Text
o   1/2 cup flour,10,0,0.8337524105804135,4,0,0,Body_Text
o   2 eggs,10,0,0.8522372004961727,3,0,0,Body_Text
o   1 cup breadcrumbs,10,0,0.8707473446624447,4,0,0,Body_Text
o   1 cup vegetable oil,10,0,0.8892321345782039,5,0,0,Body_Text
,10,0,0.09258828981958254,1,0,0,Body_Text
Instructions :,12,1,0.09393942476523043,2,0,0,Body_Text
o   Form risotto into balls and stuff with a cube of mozzarella.,10,0,0.11233822986333057,12,0,1,Body_Text
"o   Dredge balls in flour, dip in beaten eggs, and coat with breadcrumbs.",10,0,0.13082309684368096,13,0,1,Body_Text
o   Fry in hot oil until golden.,10,0,0.14930796382403133,7,0,0,Body_Text
o   Drain on paper towels and serve warm.,10,0,0.16789378541888614,8,0,0,Body_Text
,12,1,0.18646463721689552,0,0,0,Body_Text
Baba Ganoush,12,1,0.2049495041972459,2,0,0,H1
,10,0,0.2220832362319484,1,0,0,Body_Text
Ingredients :,12,1,0.22343437117759626,2,0,0,Body_Text
o   2 eggplants,10,0,0.24183317627569642,3,0,0,Body_Text
o   1/4 cup tahini,10,0,0.2603180432560468,4,0,0,Body_Text
o   1/4 cup lemon juice,10,0,0.2788029102363972,5,0,0,Body_Text
o   2 cloves garlic,10,0,0.29736353170992147,4,0,0,Body_Text
o   1/4 cup olive oil,10,0,0.31584832162568066,5,0,0,Body_Text
o   1 teaspoon salt,10,0,0.3343331693398832,4,0,0,Body_Text
,10,0,0.3515529054583925,1,0,0,Body_Text
Instructions :,12,1,0.3529040404040404,2,0,0,Body_Text
"o   Roast eggplants until soft, then peel and mash.",10,0,0.37130290330058396,9,0,0,Body_Text
"o   Blend mashed eggplant, tahini, lemon juice, minced garlic, and salt in a food",10,0,0.38978777028093436,14,0,1,Body_Text
processor.,12,0,0.4083586028127959,1,0,0,Body_Text
o   Slowly add olive oil while blending until smooth.,10,0,0.4268331816702178,9,0,0,Body_Text
o   Serve with a drizzle of olive oil.,10,0,0.4453180486505682,8,0,0,Body_Text
,12,1,0.46388888118242977,0,0,0,Body_Text
Baked Beans,12,1,0.48237374816278017,2,0,0,H1
,10,0,0.499507441665187,1,0,0,Body_Text
Ingredients :,12,1,0.5008585766108349,2,0,0,Body_Text
o   4 cups cooked navy beans,10,0,0.5192827166933002,6,0,0,Body_Text
o   1 small onion,10,0,0.5377675836736505,4,0,0,Body_Text
o   1/2 cup molasses,10,0,0.5563281280825837,4,0,0,Body_Text
o   1/4 cup brown sugar,10,0,0.574812995062934,5,0,0,Body_Text
o   1/4 cup ketchup,10,0,0.5932978620432844,4,0,0,Body_Text
o   1 tablespoon mustard,10,0,0.6117827290236347,4,0,0,Body_Text
o   1 teaspoon salt,10,0,0.6302675189393939,4,0,0,Body_Text
o   1/2 teaspoon pepper,10,0,0.6487523859197443,4,0,0,Body_Text
,10,0,0.665972083505958,1,0,0,Body_Text
Instructions :,12,1,0.6673232569839015,2,0,0,Body_Text
o   Preheat oven to 350°F (175°C).,10,0,0.6857977973090278,6,0,0,Body_Text
o   Sauté diced onion until translucent.,10,0,0.7042826642893781,6,0,0,Body_Text
"o   Mix beans, onion, molasses, brown sugar, ketchup, mustard, salt, and pepper in a",10,0,0.7227675312697285,14,0,1,Body_Text
baking dish.,12,0,0.7413384023338857,2,0,0,Body_Text
"o   Bake for 1 hour, stirring occasionally.",10,0,0.7597372652304293,7,0,0,Body_Text
o   Serve warm.,10,0,0.7782220551461885,3,0,0,Body_Text
,12,1,0.7967929262103457,0,0,0,Body_Text
Bammy,12,1,0.815277793190696,1,0,0,H1
,10,0,0.8324872411862768,1,0,0,Body_Text
Ingredients :,12,1,0.8338384146642204,2,0,0,Body_Text
o   2 cups grated cassava,10,0,0.8522372004961727,5,0,0,Body_Text
o   1/4 cup coconut milk,10,0,0.8707473446624447,5,0,0,Body_Text
o   1 teaspoon salt,10,0,0.8892321345782039,4,0,0,Body_Text
o   Oil for frying,10,0,0.09385343994757142,4,0,0,Body_Text
,10,0,0.1110730797353417,1,0,0,Body_Text
Instructions :,12,1,0.11242421468098958,2,0,0,Body_Text
o   Mix grated cassava with coconut milk and salt.,10,0,0.13082309684368096,9,0,0,Body_Text
o   Form mixture into flat cakes.,10,0,0.14930796382403133,6,0,0,Body_Text
o   Fry in hot oil until golden.,10,0,0.16789378541888614,7,0,0,Body_Text
o   Drain on paper towels and serve warm.,10,0,0.1863786523992365,8,0,0,Body_Text
,12,1,0.2049495041972459,0,0,0,Body_Text
Banchan,12,1,0.22343437117759626,1,0,0,H1
,10,0,0.24056802614770753,1,0,0,Body_Text
Ingredients :,12,1,0.24191916109335543,2,0,0,Body_Text
"o   Assorted small side dishes like pickled radish, spinach, bean sprouts, kimchi",10,0,0.2603180432560468,12,0,1,Body_Text
,10,0,0.2775377601084083,1,0,0,Body_Text
Instructions :,12,1,0.2788888950540562,2,0,0,Body_Text
o   Prepare each side dish separately.,10,0,0.29736353170992147,6,0,0,Body_Text
o   Arrange on small plates.,10,0,0.31584832162568066,5,0,0,Body_Text
o   Serve as accompaniments to the main meal.,10,0,0.3343331693398832,8,0,0,Body_Text
,12,1,0.3529040404040404,0,0,0,Body_Text
Banh Beo,12,1,0.3713889073843908,2,0,0,H1
,10,0,0.3885226008867977,1,0,0,Body_Text
Ingredients :,12,1,0.38987373583244556,2,0,0,Body_Text
o   1 cup rice flour,10,0,0.4082726372612847,5,0,0,Body_Text
o   1/2 cup water,10,0,0.4268331816702178,4,0,0,Body_Text
o   1/2 cup coconut milk,10,0,0.4453180486505682,5,0,0,Body_Text
o   1/4 cup shrimp,10,0,0.4638029156309186,4,0,0,Body_Text
o   1/4 cup green onions,10,0,0.4822877826112689,5,0,0,Body_Text
o   1/4 cup fried shallots,10,0,0.5007725725270281,5,0,0,Body_Text
o   1 teaspoon salt,10,0,0.5192827166933002,4,0,0,Body_Text
o   1/2 teaspoon sugar,10,0,0.5377675836736505,4,0,0,Body_Text
,10,0,0.5550629972207426,1,0,0,Body_Text
Instructions :,12,1,0.5564141321663905,2,0,0,Body_Text
"o   Mix rice flour, water, coconut milk, salt, and sugar to form a batter.",10,0,0.574812995062934,14,0,1,Body_Text
o   Pour batter into small dishes and steam until set.,10,0,0.5932978620432844,10,0,0,Body_Text
o   Sauté chopped shrimp and green onions until cooked.,10,0,0.6117827290236347,9,0,0,Body_Text
"o   Top steamed cakes with shrimp, green onions, and fried shallots.",10,0,0.6302675189393939,11,0,1,Body_Text
o   Serve with dipping sauce.,10,0,0.6487523859197443,5,0,0,Body_Text
,12,1,0.6673232569839015,0,0,0,Body_Text
Banh Xeo,12,1,0.6858838013928346,2,0,0,H1
,10,0,0.7030174948952415,1,0,0,Body_Text
Ingredients :,12,1,0.704368668373185,2,0,0,Body_Text
o   1 cup rice flour,10,0,0.7227675312697285,5,0,0,Body_Text
o   1/2 cup coconut milk,10,0,0.7412523982500789,5,0,0,Body_Text
o   1/2 cup water,10,0,0.7597372652304293,4,0,0,Body_Text
o   1/2 pound shrimp,10,0,0.7782220551461885,4,0,0,Body_Text
o   1/2 pound pork,10,0,0.7967069221265388,4,0,0,Body_Text
o   1 small onion,10,0,0.8151917891068892,4,0,0,Body_Text
o   1/2 cup bean sprouts,10,0,0.8337524105804135,5,0,0,Body_Text
o   1/4 cup green onions,10,0,0.8522372004961727,5,0,0,Body_Text
o   1/4 cup cilantro,10,0,0.8707473446624447,4,0,0,Body_Text
o   1 teaspoon turmeric,10,0,0.8892321345782039,4,0,0,Body_Text
o   1 teaspoon salt,10,0,0.09385343994757142,4,0,0,Body_Text
o   Oil for frying,10,0,0.11233822986333057,4,0,0,Body_Text
,10,0,0.12955794671569207,1,0,0,Body_Text
Instructions :,12,1,0.13090908166133997,2,0,0,Body_Text
"o   Mix rice flour, coconut milk, water, turmeric, and salt to form a batter.",10,0,0.14930796382403133,14,0,1,Body_Text
"o   Sauté sliced pork, shrimp, and diced onion until cooked.",10,0,0.16789378541888614,10,0,0,Body_Text
"o   Heat oil in a pan and pour in a ladle of batter, swirling to coat the pan.",10,0,0.1863786523992365,18,0,1,Body_Text
"o   Add cooked pork, shrimp, bean sprouts, green onions, and cilantro.",10,0,0.20486351937958688,11,0,1,Body_Text
o   Fold pancake in half and cook until crispy.,10,0,0.22334838635993726,9,0,0,Body_Text
o   Serve with lettuce and dipping sauce.,10,0,0.24183317627569642,7,0,0,Body_Text
,12,1,0.26040402807370583,0,0,0,Body_Text
Basturma,12,1,0.2788888950540562,1,0,0,H1
,10,0,0.29609838158193263,1,0,0,Body_Text
Ingredients :,12,1,0.2974495165275805,2,0,0,Body_Text
o   1 pound beef tenderloin,10,0,0.31584832162568066,5,0,0,Body_Text
o   1/4 cup paprika,10,0,0.3343331693398832,4,0,0,Body_Text
o   2 tablespoons cumin,10,0,0.35281803632023356,4,0,0,Body_Text
o   2 tablespoons fenugreek,10,0,0.37130290330058396,4,0,0,Body_Text
o   1 tablespoon garlic powder,10,0,0.38978777028093436,5,0,0,Body_Text
o   1 tablespoon salt,10,0,0.4082726372612847,4,0,0,Body_Text
,10,0,0.42556805080837673,1,0,0,Body_Text
Instructions :,12,1,0.4269191857540246,2,0,0,Body_Text
o   Rub beef with salt and let cure in the refrigerator for 24 hours.,10,0,0.4453180486505682,14,0,1,Body_Text
o   Rinse and pat dry.,10,0,0.4638029156309186,5,0,0,Body_Text
"o   Mix paprika, cumin, fenugreek, and garlic powder, then coat beef with the",10,0,0.4822877826112689,13,0,1,Body_Text
mixture.,12,0,0.5008585766108349,1,0,0,Body_Text
"o   Wrap in cheesecloth and hang in a cool, dry place for 1-2 weeks.",10,0,0.5192827166933002,14,0,1,Body_Text
o   Slice thinly and serve.,10,0,0.5377675836736505,5,0,0,Body_Text
,12,1,0.5564141321663905,0,0,0,Body_Text
Batbout,12,1,0.5748989991467408,1,0,0,H1
,10,0,0.5920326926491477,1,0,0,Body_Text
Ingredients :,12,1,0.5933838275947956,2,0,0,Body_Text
o   2 1/4 teaspoons active dry yeast,10,0,0.6117827290236347,7,0,0,Body_Text
o   1 teaspoon sugar,10,0,0.6302675189393939,4,0,0,Body_Text
o   1 cup warm water,10,0,0.6487523859197443,5,0,0,Body_Text
o   3 cups flour,10,0,0.6672372529000947,4,0,0,Body_Text
o   1 teaspoon salt,10,0,0.6857977973090278,4,0,0,Body_Text
o   1/4 cup olive oil,10,0,0.7042826642893781,5,0,0,Body_Text
,10,0,0.7215023618755918,1,0,0,Body_Text
Instructions :,12,1,0.7228535353535354,2,0,0,Body_Text
"o   Dissolve yeast and sugar in warm water, let sit until foamy.",10,0,0.7412523982500789,12,0,1,Body_Text
"o   Mix flour and salt in a bowl, then add yeast mixture and olive oil.",10,0,0.7597372652304293,15,0,1,Body_Text
"o   Knead until smooth, then let rise until doubled.",10,0,0.7782220551461885,9,0,0,Body_Text
o   Divide dough into balls and roll out into circles.,10,0,0.7967069221265388,10,0,0,Body_Text
o   Cook on a hot griddle until puffed and golden.,10,0,0.8151917891068892,10,0,0,Body_Text
o   Serve warm.,10,0,0.8337524105804135,3,0,0,Body_Text
,12,1,0.8523232045799795,0,0,0,Body_Text
Bhindi Masala,12,1,0.8708333487462516,2,0,0,H1
,10,0,0.8879669651840673,1,0,0,Body_Text
Ingredients :,12,1,0.8893181386620107,2,0,0,Body_Text
o   1 pound okra,10,0,0.09385343994757142,4,0,0,Body_Text
o   1 small onion,10,0,0.11233822986333057,4,0,0,Body_Text
o   2 cloves garlic,10,0,0.13082309684368096,4,0,0,Body_Text
o   1 teaspoon cumin,10,0,0.14930796382403133,4,0,0,Body_Text
o   1 teaspoon coriander,10,0,0.16789378541888614,4,0,0,Body_Text
o   1 teaspoon turmeric,10,0,0.1863786523992365,4,0,0,Body_Text
o   1 teaspoon garam masala,10,0,0.20486351937958688,5,0,0,Body_Text
o   1 teaspoon salt,10,0,0.22334838635993726,4,0,0,Body_Text
o   2 tablespoons oil,10,0,0.24183317627569642,4,0,0,Body_Text
,10,0,0.2590528931280579,1,0,0,Body_Text
Instructions :,12,1,0.26040402807370583,2,0,0,Body_Text
"o   Wash and dry okra, then cut into pieces.",10,0,0.2788029102363972,9,0,0,Body_Text
o   Heat oil in a pan and sauté diced onion and minced garlic until translucent.,10,0,0.29736353170992147,15,0,1,Body_Text
"o   Add cumin, coriander, turmeric, and garam masala, cook for 1 minute.",10,0,0.31584832162568066,12,0,1,Body_Text
o   Add okra and stir to coat with spices.,10,0,0.3343331693398832,9,0,0,Body_Text
"o   Cook until okra is tender, stirring occasionally.",10,0,0.35281803632023356,8,0,0,Body_Text
o   Add salt to taste and serve.,10,0,0.37130290330058396,7,0,0,Body_Text
,12,0,0.38987373583244556,0,0,0,Body_Text
Bobotie,12,1,0.4083586028127959,1,0,0,H1
,10,0,0.42556805080837673,1,0,0,Body_Text
Ingredients :,12,1,0.4269191857540246,2,0,0,Body_Text
o   1 pound ground beef,10,0,0.4453180486505682,5,0,0,Body_Text
o   1 small onion,10,0,0.4638029156309186,4,0,0,Body_Text
o   2 cloves garlic,10,0,0.4822877826112689,4,0,0,Body_Text
o   1/4 cup raisins,10,0,0.5007725725270281,4,0,0,Body_Text
o   1/4 cup almonds,10,0,0.5192827166933002,4,0,0,Body_Text
o   1 tablespoon curry powder,10,0,0.5377675836736505,5,0,0,Body_Text
o   1 teaspoon salt,10,0,0.5563281280825837,4,0,0,Body_Text
o   1/2 teaspoon pepper,10,0,0.574812995062934,4,0,0,Body_Text
o   2 eggs,10,0,0.5932978620432844,3,0,0,Body_Text
o   1/2 cup milk,10,0,0.6117827290236347,4,0,0,Body_Text
o   1/4 cup breadcrumbs,10,0,0.6302675189393939,4,0,0,Body_Text
,10,0,0.6474872165256076,1,0,0,Body_Text
Instructions :,12,1,0.6488383900035511,2,0,0,Body_Text
o   Preheat oven to 350°F (175°C).,10,0,0.6672372529000947,6,0,0,Body_Text
o   Sauté diced onion and minced garlic until softened.,10,0,0.6857977973090278,9,0,0,Body_Text
"o   Add ground beef, raisins, almonds, curry powder, salt, and pepper, cook until",10,0,0.7042826642893781,13,0,1,Body_Text
beef is browned.,12,0,0.7228535353535354,3,0,0,Body_Text
o   Transfer mixture to a baking dish.,10,0,0.7412523982500789,7,0,0,Body_Text
o   Beat eggs with milk and pour over the beef mixture.,10,0,0.7597372652304293,11,0,0,Body_Text
o   Sprinkle with breadcrumbs.,10,0,0.7782220551461885,4,0,0,Body_Text
o   Bake for 30 minutes until set and golden.,10,0,0.7967069221265388,9,0,0,Body_Text
o   Serve warm.,10,0,0.8151917891068892,3,0,0,Body_Text
,12,1,0.8338384146642204,0,0,0,Body_Text
Bok Choy with Garlic,12,1,0.8523232045799795,4,0,0,H1
,10,0,0.8694821752683081,1,0,0,Body_Text
Ingredients :,12,1,0.8708333487462516,2,0,0,Body_Text
o   1 pound bok choy,10,0,0.8892321345782039,5,0,0,Body_Text
o   2 cloves garlic,10,0,0.09385343994757142,4,0,0,Body_Text
o   2 tablespoons soy sauce,10,0,0.11233822986333057,5,0,0,Body_Text
o   1 tablespoon sesame oil,10,0,0.13082309684368096,5,0,0,Body_Text
,10,0,0.14804281369604247,1,0,0,Body_Text
Instructions :,12,1,0.14939394864169034,2,0,0,Body_Text
o   Sauté minced garlic in sesame oil until fragrant.,10,0,0.16789378541888614,9,0,0,Body_Text
o   Add bok choy and stir-fry until tender.,10,0,0.1863786523992365,8,0,0,Body_Text
o   Add soy sauce and cook for 2 minutes.,10,0,0.20486351937958688,9,0,0,Body_Text
o   Serve warm.,10,0,0.22334838635993726,3,0,0,Body_Text
,12,1,0.24191916109335543,0,0,0,Body_Text
Bolinho de Bacalhau,12,1,0.26040402807370583,3,0,0,H1
,10,0,0.2775377601084083,1,0,0,Body_Text
Ingredients :,12,1,0.2788888950540562,2,0,0,Body_Text
o   1 pound salted cod,10,0,0.29736353170992147,5,0,0,Body_Text
o   4 potatoes,10,0,0.31584832162568066,3,0,0,Body_Text
o   1 small onion,10,0,0.3343331693398832,4,0,0,Body_Text
o   2 cloves garlic,10,0,0.35281803632023356,4,0,0,Body_Text
o   1/4 cup parsley,10,0,0.37130290330058396,4,0,0,Body_Text
o   2 eggs,10,0,0.38978777028093436,3,0,0,Body_Text
o   1 cup breadcrumbs,10,0,0.4082726372612847,4,0,0,Body_Text
o   Oil for frying,10,0,0.4268331816702178,4,0,0,Body_Text
,10,0,0.44405291778872713,1,0,0,Body_Text
Instructions :,12,1,0.445404052734375,2,0,0,Body_Text
"o   Soak salted cod in water overnight, then rinse and flake.",10,0,0.4638029156309186,11,0,0,Body_Text
"o   Boil potatoes until tender, then mash.",10,0,0.4822877826112689,7,0,0,Body_Text
"o   Mix cod with mashed potatoes, diced onion, minced garlic, chopped parsley, and",10,0,0.5007725725270281,13,0,1,Body_Text
beaten eggs.,12,0,0.5193686822448114,2,0,0,Body_Text
o   Form mixture into balls and coat with breadcrumbs.,10,0,0.5377675836736505,9,0,0,Body_Text
o   Fry in hot oil until golden.,10,0,0.5563281280825837,7,0,0,Body_Text
o   Drain on paper towels and serve warm.,10,0,0.574812995062934,8,0,0,Body_Text
,12,1,0.5933838275947956,0,0,0,Body_Text
Bouillabaisse,12,1,0.611868694575146,1,0,0,H1
,10,0,0.6290023880775528,1,0,0,Body_Text
Ingredients :,12,1,0.6303535230232008,2,0,0,Body_Text
o   1 pound fish fillets,10,0,0.6487523859197443,5,0,0,Body_Text
o   1/2 pound shrimp,10,0,0.6672372529000947,4,0,0,Body_Text
o   1/2 pound mussels,10,0,0.6857977973090278,4,0,0,Body_Text
o   1 small onion,10,0,0.7042826642893781,4,0,0,Body_Text
o   2 cloves garlic,10,0,0.7227675312697285,4,0,0,Body_Text
o   4 tomatoes,10,0,0.7412523982500789,3,0,0,Body_Text
o   4 cups fish stock,10,0,0.7597372652304293,5,0,0,Body_Text
o   1/2 cup white wine,10,0,0.7782220551461885,5,0,0,Body_Text
o   1 teaspoon saffron,10,0,0.7967069221265388,4,0,0,Body_Text
o   1 teaspoon thyme,10,0,0.8151917891068892,4,0,0,Body_Text
o   1 teaspoon salt,10,0,0.8337524105804135,4,0,0,Body_Text
o   1/2 teaspoon pepper,10,0,0.8522372004961727,4,0,0,Body_Text
,10,0,0.8694821752683081,1,0,0,Body_Text
Instructions :,12,1,0.8708333487462516,2,0,0,Body_Text
o   Sauté diced onion and minced garlic in olive oil until softened.,10,0,0.8892321345782039,12,0,1,Body_Text
"o   Add diced tomatoes, fish stock, wine, saffron, thyme, salt, and pepper, simmer",10,0,0.09385343994757142,13,0,1,Body_Text
for 20 minutes.,12,0,0.11242421468098958,3,0,0,Body_Text
"o   Add fish fillets, shrimp, and mussels, cook until seafood is done.",10,0,0.13082309684368096,12,0,1,Body_Text
o   Serve hot with crusty bread.,10,0,0.14930796382403133,6,0,0,Body_Text
,12,1,0.16797977023654515,0,0,0,Body_Text
Bratkartoffeln (Fried Potatoes),12,1,0.18646463721689552,3,0,0,H1
,10,0,0.20359836925159802,1,0,0,Body_Text
Ingredients :,12,1,0.2049495041972459,2,0,0,Body_Text
o   4 potatoes,10,0,0.22334838635993726,3,0,0,Body_Text
o   1 small onion,10,0,0.24183317627569642,4,0,0,Body_Text
o   1/4 cup bacon,10,0,0.2603180432560468,4,0,0,Body_Text
o   2 tablespoons butter,10,0,0.2788029102363972,4,0,0,Body_Text
o   1 teaspoon salt,10,0,0.29736353170992147,4,0,0,Body_Text
o   1/2 teaspoon pepper,10,0,0.31584832162568066,4,0,0,Body_Text
,10,0,0.3330680384780421,1,0,0,Body_Text
Instructions :,12,1,0.33441917342369004,2,0,0,Body_Text
"o   Boil potatoes until tender, then slice.",10,0,0.35281803632023356,7,0,0,Body_Text
"o   Cook diced bacon until crispy, then remove and set aside.",10,0,0.37130290330058396,11,0,1,Body_Text
o   Sauté sliced potatoes and diced onion in butter until golden.,10,0,0.38978777028093436,11,0,1,Body_Text
"o   Stir in bacon, salt, and pepper.",10,0,0.4082726372612847,7,0,0,Body_Text
o   Serve warm.,10,0,0.4268331816702178,3,0,0,Body_Text
,12,1,0.445404052734375,0,0,0,Body_Text
Briam,12,1,0.46388888118242977,1,0,0,H1
,10,0,0.48102261321713224,1,0,0,Body_Text
Ingredients :,12,1,0.48237374816278017,2,0,0,Body_Text
o   2 potatoes,10,0,0.5007725725270281,3,0,0,Body_Text
o   2 zucchinis,10,0,0.5192827166933002,3,0,0,Body_Text
o   2 eggplants,10,0,0.5377675836736505,3,0,0,Body_Text
